date	description	amount													
2011-10-16 	Stromstad Kommun 	-35		
2011-10-16 	7-Eleven 20148 B 	-39.98		
2011-10-17 	COOP NARA MARSTR 	-32.3		
2011-10-18 	PIAZZA FIORE 	-95		
2011-10-18 	HERTZ STOCKHOLM 	-1046		
2011-10-18 	Övf via internet 836833448321087 	1800		
2011-10-18 	EDELWEISS CAFE & 	-50		
2011-10-19 	GATEAU HAMNGATAN 	-69.3		
2011-10-19 	CAPPUCCIO 	-117		
2011-10-19 	EDELWEISS CAFE & 	-65		
2011-10-19 	EDELWEISS CAFE & 	-50		
2011-10-20 	RICHE MED TEATER 	-134		
2011-10-20 	NK SALUHALL 	-104.6		
2011-10-20 	EDELWEISS CAFE & 	-50		
2011-10-21 	Automatuttag shb 	-300		
2011-10-22 	7-Eleven 17146 S 	-43		
2011-10-22 	Övf via internet 836833448321087 	2000		
2011-10-24 	KONTANTEN T-BANA 	-600		
2011-10-24 	VILLEROY & BOCH 	-234		
2011-10-24 	RESTAURANG GRODA 	-424		
2011-10-25 	BERNS SALONGER & 	-360		
2011-10-25 	GATEAU HAMNGATAN 	-59.4		
2011-10-25 	TEATERBAREN KULT 	-92		
2011-10-25 	EDELWEISS CAFE & 	-45		
2011-10-25 	Egen överföring 	10000		
2011-10-26 	O LEARYS NORRMAL 	-89		
2011-10-26 	NK SALUHALL 	-40.7		
2011-10-26 	ICA KARLAPLAN 	-105.7		
2011-10-26 	EDELWEISS CAFE & 	-45		
2011-10-28 	MELANDERS FISK O 	-358		
2011-10-28 	WAYNES COFFEE 	-49		
2011-10-28 	PIAZZA FIORE 	-95		
2011-10-28 	10057 SAVANNEN 	-76		
2011-10-28 	WAYNES COFFEE 	-49		
2011-10-28 	PRIS KONCEPT MER 	-25		
2011-10-29 	PIAZZA FIORE 	-95		
2011-10-29 	SPOTIFY NICKELAR 	-99		
2011-10-30 	7-Eleven 16125 B 	-40		
2011-10-30 	LILLA CAFEET PÅ 	-70		
2011-10-30 	EDELWEISS CAFE & 	-40		
2011-10-30 	IKEA-KUNGENS KUR 	-3381		
2011-10-31 	BOT&BÄTTRING 	-100		
