date	description	amount	type	pending											
2012-10-30	HAR 3000 HOT/12-10-29	-345													
2012-10-30	KAFFEMAKARN /12-10-29	-115													
2012-10-29	RESTAURANG G/12-10-28	-366													
2012-10-29	WAGAMAMA    /12-10-27	-195													
2012-10-29	COOP KONSUM /12-10-25	-130													
2012-10-29	TELE2 SVE AB	-169													
2012-10-29	COM HEM AB	-107													
2012-10-29	SF BIO  FILM/12-10-27	-59													
2012-10-26	KALSEN NY	3332													
2012-10-26	BRF LILLA TULLEN C/O UBC	-4517													
2012-10-26	EUROCARD AB	-11788													
2012-10-25	WWW SF SE   /12-10-24	-480													
2012-10-25	COOP KONSUM /12-10-23	-185													
2012-10-25	55340002888	-3245													
2012-10-25	55340002888	-10000													
2012-10-25	LÖN	38141													
2012-10-24	KAFFEMAKARN /12-10-23	-89													
2012-10-24	VIKTOR LINDE	300													
2012-10-23	COOP KONSUM /12-10-20	-219													
2012-10-22	SATS STUREPL/12-10-21	-40													
2012-10-19	KAFFEMAKARN /12-10-18	-95													
2012-10-18	HELSINGBORGS/12-10-05	-20													
2012-10-18	QPARK AB    /12-10-05	-12													
2012-10-18	7-ELEVEN 151/12-10-17	-58													
2012-10-17	PONG ASIAN D/12-10-16	-80													
2012-10-15	HUVUDSTADENS/12-10-14	-199													
2012-10-15	COOP KONSUM /12-10-13	-65													
2012-10-15	WWW SF SE   /12-10-13	-330													
2012-10-15	SF BIO  RIGO/12-10-13	-20													
2012-10-15	KAFFEMAKARN /12-10-12	-89													
2012-10-12	ICA BONDEN  /12-10-11	-82													
2012-10-12	SATS MEDBORG/12-10-11	-25													
2012-10-11	COOP KONSUM /12-10-09	-281													
2012-10-10	KAFFEMAKARN /12-10-09	-89													
2012-10-09	ISABERG KONF/12-10-07	-97													
2012-10-09	OKQ8        /12-10-06	-87													
2012-10-09	ARLANDA EXPR/12-10-08	-260													
2012-10-08	ISABERG GOLF/12-10-07	-800													
2012-10-08	CARPENTERS G/12-10-06	-114													
2012-10-08	SKEPPSHULTS /12-10-06	-106													
2012-10-08	SYSTEMBOLAGE/12-10-05	-358													
2012-10-08	HEMKÖP HELSI/12-10-05	-99													
2012-10-08	BARA VARA I /12-10-04	-1700													
2012-10-04	KAFFEMAKARN /12-10-03	-95													
2012-10-03	COOP KONSUM /12-10-01	-81													
2012-10-02	SPOTIFY 8 PR/12-10-01	-99													
2012-10-01	COOP KONSUM /12-09-29	-120													
2012-10-01	MY WAY      /12-09-28	-29													
2012-10-01	COOP KONSUM /12-09-28	-233													
2012-09-28	TST         /12-09-27	-7807													
2012-09-28	KAFFEMAKARN /12-09-27	-89													
2012-09-28	SATS REGERIN/12-09-27	-40													
2012-09-27	BAR CENTRAL /12-09-26	-300													
2012-09-27	SHM_PHILIP	-600													
2012-09-27	TELE2 SVE AB	-169													
2012-09-27	COM HEM AB	-107													
2012-09-27	LILLA TULLEN BRF	-3768													
2012-09-26	CYKELRINGEN /12-09-24	-249													
2012-09-26	COOP KONSUM /12-09-24	-31													
2012-09-26	HOCKEY	-899													
2012-09-26	EUROCARD AB	-1126													
2012-09-26	LÄNSFÖRSÄKRINGAR STOCKHO	-1771													
2012-09-25	HAR 3000 HOT/12-09-24	-474													
2012-09-25	55340002888	-6500													
2012-09-25	LÖN	29797													
2012-09-24	VIKTOR LINDE	200													
2012-09-24	VIKTOR LINDE	300													
2012-09-24	ICA KVANTUM /12-09-22	-194													
2012-09-24	PRESSBYRAN 8/12-09-21	-30													
2012-09-21	SATS STUREPL/12-09-20	-40													
2012-09-21	COOP KONSUM /12-09-19	-107													
2012-09-20	COOP KONSUM /12-09-18	-78													
2012-09-20	AUT18:51	-100													
2012-09-20	AUT14-39	-100													
2012-09-18	SCANDINAVIA /12-09-17	-101													
2012-09-18	SCANDINAVIA /12-09-17	-499													
2012-09-17	COOP KONSUM /12-09-15	-43													
2012-09-17	VIKTOR LINDE	1000													
2012-09-17	KAFFEMAKARN /12-09-14	-95													
2012-09-17	SYSTEMBOLAGE/12-09-14	-225													
2012-09-17	COOP KONSUM /12-09-13	-158													
2012-09-14	TST         /12-09-13	-2292													
2012-09-14	KAFFEMAKARN /12-09-13	-95													
2012-09-14	COOP KONSUM /12-09-12	-105													
2012-09-13	PONTUS      /12-09-11	-120													
2012-09-12	KAFFEMAKARN /12-09-11	-95													
2012-09-11	SF BIO  RIGO/12-09-07	-220													
2012-09-11	KAFFEMAKARN /12-09-07	-95													
2012-09-10	TAXI STOCKHO/12-09-09	-56													
2012-09-10	F12 GRILL   /12-09-08	-1146													
2012-09-10	ESPRESSO HOU/12-09-08	-124													
2012-09-10	DROTTNING KE/12-09-07	-178													
2012-09-10	RESTAURANG 1/12-09-07	-236													
2012-09-07	HOTELS COM S/12-09-06	-4451													
2012-09-07	ROYAL SUSHI /12-09-06	-238													
2012-09-07	COOP KONSUM /12-09-05	-44													
2012-09-05	COOP KONSUM /12-09-03	-110													
2012-09-03	CYKELRINGEN /12-09-02	-690													
2012-09-03	HAMMARBY SJÖ/12-09-01	-20													
2012-09-03	COOP KONSUM /12-09-01	-122													
2012-09-03	SEB TRYGG LI	480													
2012-09-03	SPOTIFY VIPP/12-09-01	-99													
2012-09-03	COOP KONSUM /12-08-31	-248													
2012-09-03	KAFFEMAKARN /12-08-31	-95													
2012-09-03	COOP KONSUM /12-08-30	-56													
2012-08-30	COM HEM AB	-107													
2012-08-28	SWEDBANK ATM/12-08-25	-200													
2012-08-27	BABYLON     /12-08-25	-140													
2012-08-27	K D RENSTIER/12-08-25	-545													
2012-08-27	SATS MEDBORG/12-08-25	-40													
2012-08-27	TELE2 SVE AB	-169													
2012-08-27	INTERSPORT S/12-08-25	-1049													
2012-08-27	TEXAS LONGHO/12-08-25	-300													
2012-08-27	SF BIO FILMS/12-08-25	-420													
2012-08-27	SYSTEMBOLAGE/12-08-24	-109													
2012-08-27	KAFFEMAKARN /12-08-24	-109													
2012-08-27	CLAS OHLSON /12-08-24	-127													
2012-08-27	BRF LILLA TULLEN C/O UBC	-4517													
2012-08-27	EUROCARD AB	-401													
2012-08-24	55340002888	-11300													
2012-08-24	LÖN	30096													
2012-08-22	SCANDINAVIA /12-08-21	-362													
2012-08-22	BANKGIRO	690													
2012-08-21	VIKTOR LINDE	300													
2012-08-20	COOP KONSUM /12-08-18	-34													
2012-08-20	KAFFEMAKARN /12-08-17	-89													
2012-08-20	COOP KONSUM /12-08-17	-195													
2012-08-20	HAR 3000 HOT/12-08-17	-345													
2012-08-20	COOP KONSUM /12-08-16	-111													
2012-08-16	KAFFEMAKARN /12-08-15	-89													
2012-08-16	FAITOO RESTA/12-08-15	-175													
2012-08-15	COOP KONSUM /12-08-13	-143													
2012-08-15	VIKTOR LINDE	1000													
2012-08-14	KAFFEMAKARN /12-08-13	-89													
2012-08-14	DALARO STRAN/12-08-12	-278													
2012-08-14	TANDL  STAMO/12-08-13	-515													
2012-08-13	COOP KONSUM /12-08-11	-84													
2012-08-13	SYSTEMBOLAGE/12-08-11	-219													
2012-08-13	CARAMELLA   /12-08-10	-39													
2012-08-13	TRAFIKKONTOR/12-08-10	-50													
2012-08-13	COOP KONSUM /12-08-09	-66													
2012-08-10	AUT20-41	-200													
2012-08-10	COOP KONSUM /12-08-08	-30													
2012-08-09	WWW ADLIBRIS/12-08-05	-358													
2012-08-09	SATS STUREPL/12-08-08	-40													
2012-08-09	COOP KONSUM /12-08-07	-267													
2012-08-08	COOP KONSUM /12-08-06	-30													
2012-08-07	PRESSBYRAN 8/12-08-06	-810													
2012-08-07	KAFFEMAKARN /12-08-06	-89													
2012-08-07	SATS STUREPL/12-08-06	-40													
2012-08-06	COOP KONSUM /12-08-04	-135													
2012-08-06	KULLAFLYG   /12-08-03	-200													
2012-08-06	PRESSBYRAN 8/12-08-03	-17													
2012-08-06	MAXI ICA STO/12-08-03	-52													
2012-08-06	SHM	-2600													
2012-08-06	VIKTOR LINDE	6000													
2012-08-03	GREKISKA KOL/12-08-02	-85													
2012-08-02	SPOTIFY VIPP/12-08-01	-99													
2012-08-02	TAGA GLASS A/12-08-01	-56													
2012-08-02	BONASERA BON/12-08-01	-480													
2012-08-01	PRASTLIDEN O/12-07-31	-15													
2012-08-01	KULLAFLYG AB/12-07-31	-866													
2012-08-01	ICA NARA TOR/12-07-31	-14													
2012-08-02	FISKHUSET I /12-07-31	-355													
2012-07-31	RIKSPOLISSTYRELSEN ORDNI	-3200													
2012-07-31	BRF LILLA TULLEN C/O UBC	-4517													
2012-07-30	3 SPETT BAR /12-07-29	-79													
2012-07-30	HEMKÖP HELSI/12-07-29	-195													
2012-07-30	CAFE VIVA   /12-07-29	-89													
2012-07-30	VIKTOR LINDE	9000													
2012-07-30	TELE2 SVE AB	-169													
2012-07-30	COM HEM AB	-107													
2012-07-30	FISKHUSET I /12-07-27	-178													
2012-07-30	RYA GOLF    /12-07-28	-600													
2012-07-30	IS ÖDÅKRA TE/12-07-28	-10													
2012-07-30	IS ÖDÅKRA TE/12-07-28	-160													
2012-07-30	RYA GOLFKROG/12-07-28	-60													
2012-07-30	RYA GOLFKROG/12-07-28	-114													
2012-07-30	SYSTRARNA PA/12-07-27	-153													
2012-07-27	PAYPAL  STHL/12-07-26	-374													
2012-07-27	"TÖRNROS,MAGNUS"	-113													
2012-07-26	FISKHUSET I /12-07-25	-252													
2012-07-26	008501233582	1500													
2012-07-26	COLLINJENSEN AB	-108													
2012-07-25	SEB TRYGG LI	184													
2012-07-25	55340002888	-31000													
2012-07-25	LÖN	29222													
2012-07-24	PERSTORP INV	2583													
2012-07-23	2011-1-2593	500													
2012-07-23	ICHA ICHA   /12-07-20	-89													
2012-07-23	7-ELEVEN 151/12-07-20	-19													
2012-07-23	VIKTOR LINDE	1000													
2012-07-20	FISKELEGET I/12-07-19	-21													
2012-07-20	PRIMA DELIKA/12-07-19	-49													
2012-07-20	PRIMA DELIKA/12-07-17	-78													
2012-07-20	HELLBERGS FA/12-07-19	-30													
