postalcode	city	community	identifer	usercount
11120	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	1
11121	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	19
11122	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	13
11123	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	51
11124	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	78
11127	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	29
11128	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	12
11129	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	69
11130	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	22
11131	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	38
11134	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	9
11135	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	1
11136	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	27
11137	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	57
11138	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	77
11139	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	96
11140	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	62
11144	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	18
11145	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	2
11149	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	4
11152	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	33
11156	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	2
11157	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	21
11160	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	115
11161	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	48
11164	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	3
11215	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	211
11216	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	133
11217	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	160
11218	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	180
