expenses:home.services          expenses:home-house.services
expenses:home.other             expenses:home-house.other
expenses:home.rent              expenses:home-house.rent
expenses:home.communications    expenses:home-house.communications
expenses:home.incurences-fees   expenses:home-house.incurences-fees
expenses:home.utilities         expenses:home-house.utilities
expenses:home.mortgage          expenses:home-house.mortgage
expenses:house.fitment          expenses:home-house.fitment
expenses:house.other            expenses:home-house.other
expenses:house.garden           expenses:home-house.garden
expenses:house.repairs          expenses:home-house.repairs
expenses:food.bars              expenses:food.alcohol-bars
expenses:food.alcohol-tobacco   expenses:food.alcohol-bars
expenses:misc.kids              expenses:shoppping.kids
expenses:wellness.beauty        expenses:shoppping.beauty
expenses:entertainment.vacation expenses:transportation.vacation
