expenses:home.communications    expenses:house.communications
expenses:home.incurences-fees    expenses:house.incurences-fees
expenses:home.services    expenses:house.services
expenses:house.repairs    expenses:shopping.repairs
expenses:house.fitment    expenses:shopping.fitment
expenses:house.garden    expenses:shopping.garden
expenses:food.groceries    expenses:provisions.groceries
expenses:food.alcohol-tobacco    expenses:provisions.alcohol-tobacco
expenses:shopping.books    expenses:entertainment.books
expenses:misc.kids    expenses:house.kids
expenses:misc.pets    expenses:house.pets
expenses:misc.education    expenses:house.education
